Suburb,Growth(PA)
ABBOTSFORD,4.7
ABERFELDIE,5.6
AIRPORT WEST,5.9
ALBANVALE,6.6
ALBERT PARK,4.9
ALBION,7.3
ALPHINGTON,6.8
ALTONA,7.1
ALTONA MEADOWS,5.9
ALTONA NORTH,5.6
ARDEER,6.6
ARMADALE,4.4
ASCOT VALE,5.9
ASHBURTON,7.1
ASHWOOD,6.5
ASPENDALE,8.0
ASPENDALE GARDENS,6.7
ATTWOOD,5.8
AVONDALE HEIGHTS,5.8
BALACLAVA,5.7
BALWYN,6.9
BALWYN NORTH,6.8
BAYSWATER,6.6
BAYSWATER NORTH,6.0
BEAUMARIS,6.6
BELGRAVE,7.1
BELGRAVE HEIGHTS,7.1
BENTLEIGH,6.5
BENTLEIGH EAST,6.7
BERWICK,6.6
BLACK ROCK,6.3
BLACKBURN,6.4
BLACKBURN NORTH,6.4
BLACKBURN SOUTH,6.8
BONBEACH,6.7
BORONIA,6.4
BOX HILL,7.0
BOX HILL NORTH,6.0
BOX HILL SOUTH,6.7
BRAYBROOK,5.3
BRIAR HILL,5.7
BRIGHTON,5.9
BRIGHTON EAST,7.0
BROADMEADOWS,5.6
BROOKLYN,4.2
BRUNSWICK,5.7
BRUNSWICK EAST,6.2
BRUNSWICK WEST,5.5
BULLEEN,6.0
BUNDOORA,4.9
BURNLEY,6.6
BURNSIDE,6.8
BURNSIDE HEIGHTS,5.7
BURWOOD,6.7
BURWOOD EAST,6.4
CAIRNLEA,6.9
CAMBERWELL,6.3
CAMPBELLFIELD,6.2
CANTERBURY,5.2
CARLTON,4.0
CARLTON NORTH,5.2
CARNEGIE,6.8
CAROLINE SPRINGS,5.3
CARRUM,7.3
CARRUM DOWNS,7.7
CAULFIELD,4.3
CAULFIELD NORTH,6.4
CAULFIELD SOUTH,6.4
CHADSTONE,6.0
CHELSEA,7.6
CHELSEA HEIGHTS,6.9
CHELTENHAM,6.9
CLARINDA,6.1
CLAYTON,6.1
CLAYTON SOUTH,6.1
CLIFTON HILL,7.1
COBURG,6.4
COBURG NORTH,6.1
COLLINGWOOD,5.2
COOLAROO,6.2
CRAIGIEBURN,6.1
CRANBOURNE,7.6
CRANBOURNE NORTH,6.7
CREMORNE,5.0
CROYDON,6.9
CROYDON HILLS,7.5
CROYDON NORTH,7.1
CROYDON SOUTH,7.2
DALLAS,6.2
DANDENONG,5.4
DANDENONG NORTH,6.3
DEEPDENE,4.4
DEER PARK,6.3
DELAHEY,5.5
DERRIMUT,5.9
DIAMOND CREEK,6.7
DINGLEY VILLAGE,7.0
DONCASTER,6.2
DONCASTER EAST,7.5
DONVALE,6.9
DOVETON,6.6
EAGLEMONT,6.6
EAST MELBOURNE,6.5
EDITHVALE,7.6
ELSTERNWICK,4.7
ELTHAM,6.5
ELTHAM NORTH,7.2
ELWOOD,5.0
EMERALD,6.9
ENDEAVOUR HILLS,7.1
EPPING,6.2
ESSENDON,7.3
ESSENDON NORTH,6.0
ESSENDON WEST,4.9
EUMEMMERRING,6.5
FAIRFIELD,5.6
FAWKNER,6.5
FERNTREE GULLY,7.0
FERNY CREEK,6.0
FITZROY,4.9
FITZROY NORTH,5.1
FLEMINGTON,3.4
FOOTSCRAY,4.2
FOREST HILL,6.8
FRANKSTON,7.7
FRANKSTON NORTH,8.4
FRANKSTON SOUTH,8.0
GARDENVALE,7.2
GLADSTONE PARK,6.1
GLEN HUNTLY,5.9
GLEN IRIS,6.7
GLEN WAVERLEY,7.4
GLENROY,5.8
GOWANBRAE,3.4
GREENSBOROUGH,6.2
HADFIELD,6.4
HALLAM,7.0
HAMPTON,6.4
HAMPTON EAST,6.7
HAMPTON PARK,6.9
HAWTHORN,5.6
HAWTHORN EAST,8.2
HEATHERTON,6.2
HEATHMONT,6.1
HEIDELBERG,6.4
HEIDELBERG HEIGHTS,6.5
HEIDELBERG WEST,5.8
HIGHETT,6.9
HOPPERS CROSSING,6.7
HUGHESDALE,5.5
HUNTINGDALE,6.1
HURSTBRIDGE,6.4
IVANHOE,4.7
IVANHOE EAST,6.3
JACANA,5.8
JUNCTION VILLAGE,7.5
KALLISTA,7.0
KALORAMA,7.2
KEALBA,6.1
KEILOR,7.1
KEILOR DOWNS,6.7
KEILOR EAST,5.8
KEILOR LODGE,6.5
KEILOR PARK,5.7
KENSINGTON,4.2
KEW,5.2
KEW EAST,6.2
KEYSBOROUGH,7.7
KILSYTH,6.4
KILSYTH SOUTH,6.8
KINGS PARK,6.7
KINGSBURY,5.3
KINGSVILLE,6.6
KNOXFIELD,6.6
LALOR,6.4
LANGWARRIN,8.0
LAVERTON,6.1
LILYDALE,7.0
LOWER PLENTY,6.8
LYNBROOK,6.6
LYNDHURST,6.9
LYSTERFIELD SOUTH,7.5
MACLEOD,5.9
MAIDSTONE,5.3
MALVERN,7.1
MALVERN EAST,6.1
MARIBYRNONG,4.7
MCKINNON,6.9
MEADOW HEIGHTS,5.9
MENTONE,6.6
MIDDLE PARK,4.5
MILL PARK,6.7
MITCHAM,6.4
MONT ALBERT,6.1
MONT ALBERT NORTH,5.6
MONTMORENCY,7.0
MONTROSE,6.6
MOONEE PONDS,6.3
MOORABBIN,6.7
MOOROOLBARK,6.4
MORDIALLOC,7.4
MOUNT DANDENONG,7.0
MOUNT EVELYN,7.4
MOUNT WAVERLEY,6.9
MULGRAVE,6.1
MURRUMBEENA,6.6
NARRE WARREN,7.0
NARRE WARREN NORTH,8.7
NARRE WARREN SOUTH,7.2
NEWPORT,6.3
NIDDRIE,5.4
NOBLE PARK,6.2
NOBLE PARK NORTH,6.8
NORTH MELBOURNE,4.3
NORTHCOTE,6.9
NOTTING HILL,6.9
NUNAWADING,6.4
OAK PARK,6.3
OAKLEIGH,5.9
OAKLEIGH EAST,5.5
OAKLEIGH SOUTH,6.5
ORMOND,6.1
PARK ORCHARDS,6.2
PARKDALE,5.9
PARKVILLE,7.5
PASCOE VALE,5.9
PASCOE VALE SOUTH,5.8
PATTERSON LAKES,7.7
POINT COOK,5.5
PORT MELBOURNE,5.8
PRAHRAN,5.9
PRESTON,6.2
PRINCES HILL,2.9
RESEARCH,5.5
RESERVOIR,5.5
RICHMOND,4.3
RINGWOOD,6.1
RINGWOOD EAST,6.2
RINGWOOD NORTH,6.8
RIPPONLEA,4.0
ROSANNA,6.1
ROWVILLE,6.7
ROXBURGH PARK,5.7
SANDHURST,7.0
SANDRINGHAM,5.7
SASSAFRAS,4.2
SCORESBY,6.5
SEABROOK,5.8
SEAFORD,7.1
SEAHOLME,9.1
SEDDON,5.0
SELBY,7.1
SKYE,6.8
SOUTH KINGSVILLE,7.3
SOUTH MELBOURNE,4.7
SOUTH MORANG,5.7
SOUTH YARRA,5.9
SPOTSWOOD,5.2
SPRINGVALE,6.8
SPRINGVALE SOUTH,6.4
ST ALBANS,6.2
ST HELENA,6.7
ST KILDA,5.2
ST KILDA EAST,4.4
ST KILDA WEST,9.6
STRATHMORE,5.5
STRATHMORE HEIGHTS,5.5
SUNSHINE,6.2
SUNSHINE NORTH,6.1
SUNSHINE WEST,6.2
SURREY HILLS,6.1
SYDENHAM,5.7
TAYLORS HILL,6.4
TAYLORS LAKES,6.6
TECOMA,7.3
TEMPLESTOWE,6.9
TEMPLESTOWE LOWER,6.5
THE BASIN,7.1
THE PATCH,7.8
THOMASTOWN,5.9
THORNBURY,6.6
TOORAK,6.4
TULLAMARINE,6.2
UPPER FERNTREE GULLY,7.0
UPWEY,7.5
VERMONT,7.3
VERMONT SOUTH,7.8
VIEWBANK,6.6
WANDIN NORTH,6.6
WANTIRNA,7.2
WANTIRNA SOUTH,8.6
WARRANDYTE,7.0
WARRANWOOD,7.1
WATERWAYS,9.7
WATSONIA,5.7
WATSONIA NORTH,6.2
WERRIBEE,7.0
WEST FOOTSCRAY,5.2
WEST MELBOURNE,3.0
WESTMEADOWS,6.5
WHEELERS HILL,7.4
WILLIAMS LANDING,5.5
WILLIAMSTOWN,5.6
WILLIAMSTOWN NORTH,5.2
WINDSOR,5.7
YALLAMBIE,5.9
YARRAVILLE,4.7
